Tarih;Borç Alma;Borç Verme
20.02.2002;57.00;62.00
14.03.2002;54.00;61.00
8.04.2002;51.00;58.00
30.04.2002;48.00;55.00
5.08.2002;46.00;53.00
11.11.2002;44.00;51.00
25.04.2003;41.00;48.00
4.06.2003;38.00;45.00
16.07.2003;35.00;41.00
6.08.2003;32.00;38.00
18.09.2003;29.00;35.00
15.10.2003;26.00;31.00
5.02.2004;24.00;29.00
17.03.2004;22.00;27.00
8.09.2004;20.00;24.00
20.12.2004;18.00;22.00
11.01.2005;17.00;21.00
9.02.2005;16.50;20.50
9.03.2005;15.50;19.50
11.04.2005;15.00;19.00
10.05.2005;14.50;18.50
9.06.2005;14.25;18.25
11.10.2005;14.00;18.00
9.11.2005;13.75;17.75
9.12.2005;13.50;17.50
2.01.2006;13.50;16.50
28.04.2006;13.25;16.25
8.06.2006;15.00;18.00
26.06.2006;17.25;20.25
28.06.2006;17.25;22.25
21.07.2006;17.50;22.50
14.09.2007;17.25;22.25
17.10.2007;16.75;21.50
15.11.2007;16.25;20.75
14.12.2007;15.75;20.00
18.01.2008;15.50;19.50
15.02.2008;15.25;19.25
16.05.2008;15.75;19.75
17.06.2008;16.25;20.25
18.07.2008;16.75;20.25
23.10.2008;16.75;19.75
20.11.2008;16.25;18.75
19.12.2008;15.00;17.50
16.01.2009;13.00;15.50
20.02.2009;Kas.50;14.00
20.03.2009;Eki.50;13.00
17.04.2009;Eyl.75;Ara.25
15.05.2009;Eyl.25;Kas.75
17.06.2009;Ağu.75;Kas.25
17.07.2009;Ağu.25;Eki.75
19.08.2009;Tem.75;Eki.25
18.09.2009;Tem.25;Eyl.75
16.10.2009;Haz.75;Eyl.25
20.11.2009;Haz.50;9.00
17.09.2010;Haz.25;Ağu.75
15.10.2010;May.75;Ağu.75
12.11.2010;Oca.75;Ağu.75
17.12.2010;Oca.50;9.00
5.08.2011;5.00;9.00
21.10.2011;5.00;Ara.50
22.02.2012;5.00;Kas.50
19.09.2012;5.00;10.00
19.10.2012;5.00;Eyl.50
21.11.2012;5.00;9.00
23.01.2013;Nis.75;Ağu.75
20.02.2013;Nis.50;Ağu.50
27.03.2013;Nis.50;Tem.50
17.04.2013;4.00;7.00
17.05.2013;Mar.50;Haz.50
24.07.2013;Mar.50;Tem.25
21.08.2013;Mar.50;Tem.75
29.01.2014;8.00;12.00
18.07.2014;Tem.50;12.00
28.08.2014;Tem.50;Kas.25
25.02.2015;Tem.25;Eki.75
25.03.2016;Tem.25;Eki.50
21.04.2016;Tem.25;10.00
25.05.2016;Tem.25;Eyl.50
22.06.2016;Tem.25;9.00
20.07.2016;Tem.25;Ağu.75
24.08.2016;Tem.25;Ağu.50
23.09.2016;Tem.25;Ağu.25
25.11.2016;Tem.25;Ağu.50
25.01.2017;Tem.25;Eyl.25
1.06.2018;15.00;16.50
8.06.2018;16.25;19.25
14.09.2018;22.50;24.00
21.09.2018;22.50;25.50
26.07.2019;18.25;21.25
13.09.2019;15.00;18.00
25.10.2019;Ara.50;15.50
13.12.2019;Eki.50;13.50
17.01.2020;Eyl.75;Ara.75
20.02.2020;Eyl.25;Ara.25
18.03.2020;Ağu.25;Kas.25
23.04.2020;Tem.25;Eki.25
22.05.2020;Haz.75;Eyl.75
25.09.2020;Ağu.75;Kas.75
20.11.2020;13.50;15.00
27.11.2020;13.50;16.50
25.12.2020;15.50;18.50
19.03.2021;17.50;20.50
24.09.2021;16.50;19.50
22.10.2021;14.50;17.50
19.11.2021;13.50;16.50
17.12.2021;Ara.50;15.50
19.08.2022;Kas.50;14.50
23.09.2022;Eki.50;13.50
21.10.2022;9.00;12.00
25.11.2022;Tem.50;Eki.50
24.02.2023;7.00;10.00
23.06.2023;13.50;16.50
21.07.2023;16.00;19.00
25.08.2023;23.50;26.50
22.09.2023;28.50;31.50
27.10.2023;33.50;36.50
24.11.2023;38.50;41.50
22.12.2023;41.00;44.00
26.01.2024;43.50;46.50
22.03.2024;47.00;53.00
27.12.2024;46.00;49.00
24.01.2025;43.50;46.50
7.03.2025;41.00;44.00
21.03.2025;41.00;46.00
18.04.2025;44.50;49.00
25.07.2025;41.50;46.00
12.09.2025;39.00;43.50
